Province/State,Country/Region,Lat,Long,Date,Value
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num
,Afghanistan,33.93911,67.709953,2020-01-30,0
,Afghanistan,33.93911,67.709953,2020-01-29,0
,Afghanistan,33.93911,67.709953,2020-01-28,0
,Afghanistan,33.93911,67.709953,2020-01-27,0
,Afghanistan,33.93911,67.709953,2020-01-26,0
,Afghanistan,33.93911,67.709953,2020-01-25,0
,Afghanistan,33.93911,67.709953,2020-01-24,0
,Afghanistan,33.93911,67.709953,2020-01-23,0
,Afghanistan,33.93911,67.709953,2020-01-22,0
,Albania,41.1533,20.1683,2020-11-04,22300
,Albania,41.1533,20.1683,2020-11-03,21904
,Albania,41.1533,20.1683,2020-11-02,21523
,Albania,41.1533,20.1683,2020-11-01,21202
,Albania,41.1533,20.1683,2020-10-31,20875
,Albania,41.1533,20.1683,2020-10-30,20634
,Albania,41.1533,20.1683,2020-10-29,20315
,Albania,41.1533,20.1683,2020-10-28,20040
,Albania,41.1533,20.1683,2020-10-27,19729
,Albania,41.1533,20.1683,2020-10-26,19445
,Albania,41.1533,20.1683,2020-10-25,19157
,Albania,41.1533,20.1683,2020-10-24,18858
,Albania,41.1533,20.1683,2020-10-23,18556
,Albania,41.1533,20.1683,2020-10-22,18250
,Albania,41.1533,20.1683,2020-10-21,17948
,Albania,41.1533,20.1683,2020-10-20,17651
,Albania,41.1533,20.1683,2020-10-19,17350
,Albania,41.1533,20.1683,2020-10-18,17055
,Albania,41.1533,20.1683,2020-10-17,16774
,Albania,41.1533,20.1683,2020-10-16,16501
,Albania,41.1533,20.1683,2020-10-15,16212
,Albania,41.1533,20.1683,2020-10-14,15955
,Albania,41.1533,20.1683,2020-10-13,15752
,Albania,41.1533,20.1683,2020-10-12,15570
,Albania,41.1533,20.1683,2020-10-11,15399
,Albania,41.1533,20.1683,2020-10-10,15231
,Albania,41.1533,20.1683,2020-10-09,15066
,Albania,41.1533,20.1683,2020-10-08,14899
,Albania,41.1533,20.1683,2020-10-07,14730
,Albania,41.1533,20.1683,2020-10-06,14568
,Albania,41.1533,20.1683,2020-10-05,14410
,Albania,41.1533,20.1683,2020-10-04,14266
,Albania,41.1533,20.1683,2020-10-03,14117
,Albania,41.1533,20.1683,2020-10-02,13965
,Albania,41.1533,20.1683,2020-10-01,13806
,Albania,41.1533,20.1683,2020-09-30,13649
,Albania,41.1533,20.1683,2020-09-29,13518
,Albania,41.1533,20.1683,2020-09-28,13391
,Albania,41.1533,20.1683,2020-09-27,13259
,Albania,41.1533,20.1683,2020-09-26,13153
,Albania,41.1533,20.1683,2020-09-25,13045
,Albania,41.1533,20.1683,2020-09-24,12921
,Albania,41.1533,20.1683,2020-09-23,12787
,Albania,41.1533,20.1683,2020-09-22,12666
,Albania,41.1533,20.1683,2020-09-21,12535
,Albania,41.1533,20.1683,2020-09-20,12385
,Albania,41.1533,20.1683,2020-09-19,12226
,Albania,41.1533,20.1683,2020-09-18,12073
,Albania,41.1533,20.1683,2020-09-17,11948
,Albania,41.1533,20.1683,2020-09-16,11816
,Albania,41.1533,20.1683,2020-09-15,11672
,Albania,41.1533,20.1683,2020-09-14,11520
,Albania,41.1533,20.1683,2020-09-13,11353
,Albania,41.1533,20.1683,2020-09-12,11185
,Albania,41.1533,20.1683,2020-09-11,11021
,Albania,41.1533,20.1683,2020-09-10,10860
,Albania,41.1533,20.1683,2020-09-09,10704
,Albania,41.1533,20.1683,2020-09-08,10553
,Albania,41.1533,20.1683,2020-09-07,10406
,Albania,41.1533,20.1683,2020-09-06,10255
,Albania,41.1533,20.1683,2020-09-05,10102
,Albania,41.1533,20.1683,2020-09-04,9967
,Albania,41.1533,20.1683,2020-09-03,9844
,Albania,41.1533,20.1683,2020-09-02,9728
,Albania,41.1533,20.1683,2020-09-01,9606
,Albania,41.1533,20.1683,2020-08-31,9513
,Albania,41.1533,20.1683,2020-08-30,9380
,Albania,41.1533,20.1683,2020-08-29,9279
,Albania,41.1533,20.1683,2020-08-28,9195
,Albania,41.1533,20.1683,2020-08-27,9083
,Albania,41.1533,20.1683,2020-08-26,8927
,Albania,41.1533,20.1683,2020-08-25,8759
,Albania,41.1533,20.1683,2020-08-24,8605
,Albania,41.1533,20.1683,2020-08-23,8427
,Albania,41.1533,20.1683,2020-08-22,8275
,Albania,41.1533,20.1683,2020-08-21,8119
,Albania,41.1533,20.1683,2020-08-20,7967
,Albania,41.1533,20.1683,2020-08-19,7812
,Albania,41.1533,20.1683,2020-08-18,7654
,Albania,41.1533,20.1683,2020-08-17,7499
,Albania,41.1533,20.1683,2020-08-16,7380
,Albania,41.1533,20.1683,2020-08-15,7260
,Albania,41.1533,20.1683,2020-08-14,7117
,Albania,41.1533,20.1683,2020-08-13,6971
,Albania,41.1533,20.1683,2020-08-12,6817
,Albania,41.1533,20.1683,2020-08-11,6676
,Albania,41.1533,20.1683,2020-08-10,6536
,Albania,41.1533,20.1683,2020-08-09,6411
,Albania,41.1533,20.1683,2020-08-08,6275
,Albania,41.1533,20.1683,2020-08-07,6151
,Albania,41.1533,20.1683,2020-08-06,6016
,Albania,41.1533,20.1683,2020-08-05,5889
,Albania,41.1533,20.1683,2020-08-04,5750
,Albania,41.1533,20.1683,2020-08-03,5620
,Albania,41.1533,20.1683,2020-08-02,5519
,Albania,41.1533,20.1683,2020-08-01,5396
,Albania,41.1533,20.1683,2020-07-31,5276
,Albania,41.1533,20.1683,2020-07-30,5197
,Albania,41.1533,20.1683,2020-07-29,5105
,Albania,41.1533,20.1683,2020-07-28,4997
,Albania,41.1533,20.1683,2020-07-27,4880
,Albania,41.1533,20.1683,2020-07-26,4763
,Albania,41.1533,20.1683,2020-07-25,4637
,Albania,41.1533,20.1683,2020-07-24,4570
,Albania,41.1533,20.1683,2020-07-23,4466
,Albania,41.1533,20.1683,2020-07-22,4358
,Albania,41.1533,20.1683,2020-07-21,4290
,Albania,41.1533,20.1683,2020-07-20,4171
,Albania,41.1533,20.1683,2020-07-19,4090
,Albania,41.1533,20.1683,2020-07-18,4008
,Albania,41.1533,20.1683,2020-07-17,3906
,Albania,41.1533,20.1683,2020-07-16,3851
,Albania,41.1533,20.1683,2020-07-15,3752
,Albania,41.1533,20.1683,2020-07-14,3667
,Albania,41.1533,20.1683,2020-07-13,3571
,Albania,41.1533,20.1683,2020-07-12,3454
,Albania,41.1533,20.1683,2020-07-11,3371
,Albania,41.1533,20.1683,2020-07-10,3278
,Albania,41.1533,20.1683,2020-07-09,3188
,Albania,41.1533,20.1683,2020-07-08,3106
,Albania,41.1533,20.1683,2020-07-07,3038
,Albania,41.1533,20.1683,2020-07-06,2964
,Albania,41.1533,20.1683,2020-07-05,2893
,Albania,41.1533,20.1683,2020-07-04,2819
,Albania,41.1533,20.1683,2020-07-03,2752
,Albania,41.1533,20.1683,2020-07-02,2662
,Albania,41.1533,20.1683,2020-07-01,2580
,Albania,41.1533,20.1683,2020-06-30,2535
,Albania,41.1533,20.1683,2020-06-29,2466
,Albania,41.1533,20.1683,2020-06-28,2402
,Albania,41.1533,20.1683,2020-06-27,2330
,Albania,41.1533,20.1683,2020-06-26,2269
,Albania,41.1533,20.1683,2020-06-25,2192
,Albania,41.1533,20.1683,2020-06-24,2114
,Albania,41.1533,20.1683,2020-06-23,2047
,Albania,41.1533,20.1683,2020-06-22,1995
,Albania,41.1533,20.1683,2020-06-21,1962
,Albania,41.1533,20.1683,2020-06-20,1891
,Albania,41.1533,20.1683,2020-06-19,1838
,Albania,41.1533,20.1683,2020-06-18,1788
,Albania,41.1533,20.1683,2020-06-17,1722
,Albania,41.1533,20.1683,2020-06-16,1672
,Albania,41.1533,20.1683,2020-06-15,1590
,Albania,41.1533,20.1683,2020-06-14,1521
,Albania,41.1533,20.1683,2020-06-13,1464
,Albania,41.1533,20.1683,2020-06-12,1416
,Albania,41.1533,20.1683,2020-06-11,1385
,Albania,41.1533,20.1683,2020-06-10,1341
,Albania,41.1533,20.1683,2020-06-09,1299
,Albania,41.1533,20.1683,2020-06-08,1263
,Albania,41.1533,20.1683,2020-06-07,1246
,Albania,41.1533,20.1683,2020-06-06,1232
,Albania,41.1533,20.1683,2020-06-05,1212
,Albania,41.1533,20.1683,2020-06-04,1197
,Albania,41.1533,20.1683,2020-06-03,1184
,Albania,41.1533,20.1683,2020-06-02,1164
,Albania,41.1533,20.1683,2020-06-01,1143
,Albania,41.1533,20.1683,2020-05-31,1137
,Albania,41.1533,20.1683,2020-05-30,1122
,Albania,41.1533,20.1683,2020-05-29,1099
,Albania,41.1533,20.1683,2020-05-28,1076
,Albania,41.1533,20.1683,2020-05-27,1050
,Albania,41.1533,20.1683,2020-05-26,1029
,Albania,41.1533,20.1683,2020-05-25,1004
,Albania,41.1533,20.1683,2020-05-24,998
,Albania,41.1533,20.1683,2020-05-23,989
,Albania,41.1533,20.1683,2020-05-22,981
,Albania,41.1533,20.1683,2020-05-21,969
,Albania,41.1533,20.1683,2020-05-20,964
,Albania,41.1533,20.1683,2020-05-19,949
,Albania,41.1533,20.1683,2020-05-18,948
,Albania,41.1533,20.1683,2020-05-17,946
,Albania,41.1533,20.1683,2020-05-16,933
,Albania,41.1533,20.1683,2020-05-15,916
,Albania,41.1533,20.1683,2020-05-14,898
,Albania,41.1533,20.1683,2020-05-13,880
,Albania,41.1533,20.1683,2020-05-12,876
,Albania,41.1533,20.1683,2020-05-11,872
,Albania,41.1533,20.1683,2020-05-10,868
,Albania,41.1533,20.1683,2020-05-09,856
,Albania,41.1533,20.1683,2020-05-08,850
,Albania,41.1533,20.1683,2020-05-07,842
,Albania,41.1533,20.1683,2020-05-06,832
,Albania,41.1533,20.1683,2020-05-05,820
,Albania,41.1533,20.1683,2020-05-04,803
,Albania,41.1533,20.1683,2020-05-03,795
,Albania,41.1533,20.1683,2020-05-02,789
,Albania,41.1533,20.1683,2020-05-01,782
,Albania,41.1533,20.1683,2020-04-30,773
,Albania,41.1533,20.1683,2020-04-29,766
,Albania,41.1533,20.1683,2020-04-28,750
,Albania,41.1533,20.1683,2020-04-27,736
,Albania,41.1533,20.1683,2020-04-26,726
,Albania,41.1533,20.1683,2020-04-25,712
,Albania,41.1533,20.1683,2020-04-24,678
,Albania,41.1533,20.1683,2020-04-23,663
,Albania,41.1533,20.1683,2020-04-22,634
,Albania,41.1533,20.1683,2020-04-21,609
,Albania,41.1533,20.1683,2020-04-20,584
,Albania,41.1533,20.1683,2020-04-19,562
,Albania,41.1533,20.1683,2020-04-18,548
,Albania,41.1533,20.1683,2020-04-17,539
,Albania,41.1533,20.1683,2020-04-16,518
,Albania,41.1533,20.1683,2020-04-15,494
,Albania,41.1533,20.1683,2020-04-14,475
,Albania,41.1533,20.1683,2020-04-13,467
,Albania,41.1533,20.1683,2020-04-12,446
,Albania,41.1533,20.1683,2020-04-11,433
,Albania,41.1533,20.1683,2020-04-10,416
,Albania,41.1533,20.1683,2020-04-09,409
